"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Out 12","618,00","592,00","594,00","591,00","0,35K","3,34%"
"Set 12","598,00","598,00","598,00","598,00","0,05K","-6,56%"
"Ago 12","640,00","640,00","645,00","635,00","-","0,79%"
"Jul 12","635,00","605,00","630,00","600,00","0,24K","5,83%"
"Jun 12","600,00","600,00","600,00","620,00","0,11K","-6,25%"
"Mai 12","640,00","640,00","665,00","663,00","0,03K","-4,48%"
"Abr 12","670,00","670,00","670,00","687,00","0,03K","-3,60%"
"Mar 12","695,00","689,00","690,00","688,00","0,01K","0,29%"
"Fev 12","693,00","728,00","728,00","728,00","0,01K","-4,41%"
"Jan 12","725,00","720,00","743,00","712,00","0,36K","0,00%"
"Dez 11","725,00","720,00","730,00","720,00","0,15K","10,69%"
"Nov 11","655,00","655,00","655,00","655,00","-","3,15%"
"Out 11","635,00","675,00","675,00","640,00","0,06K","-5,93%"
"Set 11","675,00","705,00","730,00","675,00","0,14K","-2,88%"
"Ago 11","695,00","685,00","685,00","660,00","0,17K","2,21%"
"Jul 11","680,00","735,00","735,00","680,00","0,10K","-5,82%"
"Jun 11","722,00","758,00","760,00","722,00","0,05K","-5,00%"
"Mai 11","760,00","755,00","800,00","755,00","0,03K","-2,56%"
"Abr 11","780,00","780,00","855,00","780,00","-","-11,36%"
"Mar 11","880,00","880,00","865,00","880,00","-","4,14%"
"Fev 11","845,00","800,00","845,00","795,00","0,03K","10,46%"
"Jan 11","765,00","725,00","790,00","725,00","0,08K","10,87%"
"Dez 10","690,00","690,00","615,00","690,00","0,05K","22,12%"
"Nov 10","565,00","540,00","540,00","540,00","0,11K","1,80%"
"Out 10","555,00","570,00","570,00","570,00","0,01K","-5,93%"
"Set 10","590,00","587,00","595,00","587,00","0,01K","-0,84%"
"Ago 10","595,00","595,00","565,00","575,00","0,07K","2,59%"
"Jul 10","580,00","595,00","595,00","580,00","0,11K","-5,69%"
"Jun 10","615,00","615,00","615,00","615,00","-","-7,52%"
"Mai 10","665,00","695,00","695,00","685,00","0,00K","-3,62%"
"Abr 10","690,00","690,00","690,00","690,00","-","6,98%"
"Mar 10","645,00","645,00","645,00","645,00","-","2,38%"
"Fev 10","630,00","585,00","605,00","585,00","-","10,53%"
"Jan 10","570,00","570,00","570,00","570,00","0,01K","3,64%"
"Dez 09","550,00","495,00","550,00","495,00","0,06K","7,84%"
"Nov 09","510,00","505,00","505,00","505,00","0,01K","-4,67%"
"Out 09","535,00","545,00","555,00","545,00","0,01K","-2,73%"
"Set 09","550,00","550,00","550,00","550,00","-","4,76%"
"Ago 09","525,00","500,00","540,00","500,00","-","9,38%"
"Jul 09","480,00","480,00","480,00","480,00","-","7,87%"
"Jun 09","445,00","405,00","405,00","390,00","-","9,88%"
"Mai 09","405,00","405,00","405,00","405,00","-","-2,41%"
"Abr 09","415,00","410,00","410,00","410,00","-","-7,78%"
"Mar 09","450,00","450,00","450,00","450,00","-","-9,09%"
"Fev 09","495,00","495,00","495,00","495,00","-","-3,88%"
"Jan 09","515,00","515,00","515,00","515,00","-","-1,90%"
"Dez 08","525,00","520,00","520,00","520,00","-","-11,76%"
"Nov 08","595,00","600,00","600,00","600,00","-","-4,80%"
